,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
0,381.82898765402814,14.874979076224932,29.394578584776017,17.180698720987785,62.00619461451428
0,372.32493101351645,15.554063160098515,31.52553989451597,23.27295281779301,59.94146883468527
0,296.60700331319674,19.502776833993586,23.74256834513986,22.99780206720447,63.692385275446085
0,302.5437279190996,20.278431334373636,24.87572101767732,26.16658290052547,62.46897167877281
0,362.1829575019516,14.623141109613485,17.816612380165648,19.95844004776192,57.78218867149609
0,352.6040384196133,10.992041611165533,18.404195139035814,17.897164875183933,53.97742280554836
0,341.41062050002705,12.829918229911058,18.840632084651983,16.053988356803007,57.622129839965005
0,332.5093815931612,13.9237499172958,18.115105254594948,14.701995157975237,59.82282617465415
0,205.14292011883256,13.061859575821487,19.31443816100572,14.164994266793268,65.60923563234782
0,242.5351843276496,39.49727084810169,51.201802801422055,39.30158619228173,71.78735649121366
0,240.5107066927434,43.2289489723409,53.646118472563735,41.98027394368859,61.07793138879889
0,287.74316107392013,46.00540093692271,58.093449065304185,42.99217329212827,70.73380514472818
0,307.5397054159453,46.662767822101024,58.52664168071674,40.58589598906301,76.21447685866669
0,274.14089496845565,29.70879405939919,37.442322264934184,30.828287804083644,73.85193425551452
0,252.51452836194437,12.576804458549455,19.17171740275354,17.073474952388082,70.2817069262354
0,179.75485485054188,12.71190505461538,20.877166164765438,17.41256440291959,60.458131978065246
0,146.82026344274774,12.778515040300382,20.622332054944977,16.397831226560623,56.70042711451679
0,174.24172161875,14.079144143817226,21.491120606026364,16.310355713859856,50.3101006711249
0,197.9791827041834,13.49743673912595,22.790684392975095,16.135713894346726,54.31824282018171
0,225.12757889820386,30.704126081432563,39.528358657261215,32.368881632964545,69.73514987268186
0,241.16902460429498,29.93240665463684,40.51753540179294,30.922665518801647,62.41522641239997
0,207.01556640458128,24.74534576982676,30.587985967731285,26.04657036506114,55.27041719828326
0,202.9030970941393,24.70407463813885,27.41144732159713,24.88426335717746,59.28852561312753
0,180.21239016959157,30.97107974697661,37.23627236570647,31.554739345969995,69.81605654161058
