Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1639778987.387733,1639778987.404033,0.000000,0.000000,4340.000000,4309.743652,4168.205078,4111.282227,4264.615234,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.395548,1639778987.411947,1.000000,0.000000,4354.871582,4303.589844,4142.051270,4096.410156,4257.436035,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.403363,1639778987.419762,2.000000,0.000000,4350.256348,4292.307617,4131.794922,4097.436035,4244.615234,16198.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.411178,1639778987.427677,3.000000,0.000000,4321.025879,4275.897461,4118.461426,4074.358887,4217.436035,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,10.968079,20.694477,19.778633,3.638089,2.153178,4.790470,6.080956,4.583923,0.755313,0.626442,10.560004,12.944239,13.259984,2.396638,0.844314,35.770206,23.529976,24.592674,20.595362,40.589741,19.227465,19.764112,15.757359,1.626351,0.864306
1639778987.418992,1639778987.435492,4.000000,0.000000,4317.436035,4267.692383,4098.461426,4045.641113,4206.666504,16165.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.426807,1639778987.443407,5.000000,0.000000,4354.871582,4276.410156,4108.205078,4063.589844,4228.717773,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.434622,1639778987.451322,6.000000,0.000000,4364.102539,4276.922852,4115.384766,4055.384521,4228.205078,16160.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.442437,1639778987.459137,7.000000,0.000000,4345.641113,4281.538574,4111.282227,4010.769287,4211.282227,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.450252,1639778987.467052,8.000000,0.000000,4356.922852,4295.384766,4123.077148,4040.512939,4215.897461,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.458067,1639778987.474867,9.000000,0.000000,4375.897461,4300.512695,4147.179688,4100.000000,4236.410156,16165.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.465882,1639778987.482782,10.000000,0.000000,4394.358887,4308.717773,4168.717773,4118.974121,4264.615234,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.473697,1639778987.490597,11.000000,0.000000,4429.230957,4311.282227,4172.820313,4107.179688,4274.871582,16199.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.481511,1639778987.498512,12.000000,0.000000,4440.000000,4295.897461,4168.205078,4064.102539,4260.512695,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.489326,1639778987.506327,13.000000,0.000000,4402.563965,4278.974121,4162.563965,4039.487061,4242.563965,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.497141,1639778987.514242,14.000000,0.000000,4375.384766,4278.974121,4160.000000,4055.897461,4228.717773,450.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.504956,1639778987.522057,15.000000,0.000000,4395.384766,4293.333496,4167.179688,4060.512939,4231.794922,16199.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639778987.512771,1639778987.529972,16.000000,0.000000,4402.051270,4309.230957,4177.436035,4040.000000,4247.692383,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
