,EEG.AF3/Theta,EEG.AF3/Alpha,EEG.AF3/BetaL,EEG.AF3/BetaH,EEG.AF3/Gamma,EEG.T7/Theta,EEG.T7/Alpha,EEG.T7/BetaL,EEG.T7/BetaH,EEG.T7/Gamma,EEG.Pz/Theta,EEG.Pz/Alpha,EEG.Pz/BetaL,EEG.Pz/BetaH,EEG.Pz/Gamma,EEG.T8/Theta,EEG.T8/Alpha,EEG.T8/BetaL,EEG.T8/BetaH,EEG.T8/Gamma,EEG.AF4/Theta,EEG.AF4/Alpha,EEG.AF4/BetaL,EEG.AF4/BetaH,EEG.AF4/Gamma
0,8.195854910187968,4.908517476705006,4.707196721663441,2.2383642030832585,2.9723675010100186,4.142166686876207,1.8843429634348574,1.291651679149008,1.1170513936288122,1.076467810995109,7.057289425421314,4.558540248642904,4.562017464506579,2.0052160056848196,1.501004931751266,4.838322757701512,1.2834677752275898,2.2028959965131945,1.9187477498149008,1.198361199531801,7.322788029626554,3.6844190786080824,2.7681830653056325,2.047761943872973,1.2612020161531676
0,7.933613937570684,4.498119941867236,4.5465993120756085,3.3162720170880178,2.6361585663572757,3.621046227478858,1.8370109998439201,1.375614891306469,0.982128977065343,1.0154574406321906,4.982002810723593,2.7490149969938678,4.139480406252114,1.5783007458606602,1.4514038267038887,3.9563051550436454,1.7224155096800757,2.5757846417701526,1.8523208881756894,1.1514952400751122,7.157276383014339,3.8200937665275077,2.8650590382239223,1.9752104966053754,1.334778481716894
0,4.314894770310826,4.115097882164567,3.074683543043683,3.389610492566395,3.0769775702015414,2.442310927579874,1.7760569110278595,1.3378379122779076,1.0393840727250718,1.135157576551027,3.6022737452590774,2.5029459991835004,4.065991266865177,1.4867499896819436,1.4329039641310908,2.1172579462549304,1.4351653036681733,2.2189698023967024,1.8789554151812353,1.1007598576192867,4.095012641131492,3.1309052919529603,1.8142568840165818,2.002980425376745,1.2157841811626722
0,3.3339310950407572,3.2733743833333278,3.7776845214193515,4.066498704944662,3.293735708283119,1.5498319193138475,1.750420985324078,1.307918795005663,0.8828199992642316,1.3223262455354847,2.839777786256268,2.112979090899708,4.1011543389915595,1.3388066555356084,1.5468950009360682,2.428984404226035,1.5686933875970546,2.1516534306599895,1.750217477454458,1.0767340983663671,4.470626178973832,2.375104959764335,2.27527353012077,2.063532317493426,1.224850669919098
0,2.3063385276908477,2.240406671121261,2.415954332789397,3.8933375086270727,2.9403423606166967,1.660457417741529,1.541189131000262,1.3465851263128328,1.1697910375006537,1.2520359313922624,2.630427994678173,1.4511035430756727,3.5123729220802873,1.364157422134709,1.5947151602807004,1.993978418375417,1.3988958310430744,1.7958302115457212,1.7406710740135118,1.0710892414814979,3.4214815886988914,1.8082812417644725,1.4799875203194284,2.1346107191485943,1.2657725838156522
0,17.69127744437916,6.914228953596094,2.3689668930266583,2.633921074192755,2.9649163846048174,2.504464378178273,1.8139263519691933,1.589251086979355,1.3308060713307626,1.322651373173379,3.7953273281984137,2.6287627522482246,2.095539086744455,1.5312908710762754,1.482235641545839,2.447608766607886,1.4825113262088994,2.0494029617247023,1.5706145146642494,0.9715985309965023,15.77379510689516,5.245957676147943,1.8723684062791612,1.5984494117806123,1.0528988658447802
0,26.372038989906635,7.7078908409002365,2.421188714385354,3.359843187570939,3.333415597263988,2.9954751717819557,1.9576910400598038,1.6399275502316903,1.236491885321479,1.2863663039117388,3.260067967107317,2.8994781897682027,3.148284360613196,1.719928648406046,1.5351158112545424,3.882384581908022,2.035477243029123,2.1582212224013664,1.820180517254809,1.223804013880767,23.160952851812514,6.998505243213816,2.512408777146722,2.0669640367370827,1.5144984999289386
0,27.92815218564679,8.61306098682194,3.43204245785605,3.3786553096366823,3.3069211548244173,2.869729467815147,2.220623788814865,1.4582009627631758,1.3394767250846404,1.1213223585260828,3.529014165875175,3.5268515490189536,3.8476511170966523,1.5650687185284773,1.2691611773538485,2.8333542204360103,2.681529160996172,2.4980472954225257,1.7029228030141692,1.3332574649861675,24.710119097413454,7.623029858288094,2.625883961060965,2.0751478595610697,1.5299776740743771
0,31.2707369626643,9.590555597893063,4.034543442299608,3.5295104872949303,3.145057570099859,3.2008258102717684,1.4693781775275692,1.8871929047856173,1.1416992299678212,1.2478951952426858,2.302957701267656,4.6778137516908,3.446569440569699,1.6318855473481726,1.3748079526246517,2.4027151498730275,3.1219110874920126,2.6295937204330637,1.5878673511278125,1.2175920900300758,26.894563832009748,7.967346675344098,3.399498256760758,1.7312775022038511,1.6112192549158226
0,34.26993412898705,9.110369787915337,6.582442388203916,4.5313430584629515,3.5225483263982498,2.807948304103897,1.7429186663745697,2.0984849979702656,1.0259746797527707,1.082411582236465,3.4776383419487757,4.119678411572711,3.6930173304685114,1.3906995970878908,1.0594657506691776,3.1418914806511777,3.0353313867011606,2.7962769227125066,1.7998298275305413,1.097081205367835,30.633739119768183,8.494282617207677,5.261173500799064,2.69436083282451,1.9425014714259967
0,19.371065310260352,8.233043352098338,6.018989801047861,3.290050094568066,2.7569426616330923,2.496543055150908,1.4573893842201413,1.8369763087733866,1.0814700497124066,0.8895493922471797,3.76202092053184,3.6832117562461364,3.1480742343945622,1.4968060144481803,1.1149215541201274,3.097962061745492,2.592076051174741,2.3456677995422863,1.8132298832569813,0.9922654329273063,18.168572035013277,7.095375324164317,3.5566844707048992,1.165647315501962,1.17818648488794
0,18.863488062644343,6.107272802541192,6.0001922492311905,3.7863734269924776,2.6727895969046784,3.610939807917726,1.9062227673954966,1.747778330106399,0.8938292099725873,0.9536059227170913,5.46380162660203,3.513034902719697,3.2593376723810508,1.5611816989032354,1.215804159412893,3.4264239034749693,2.190988213403169,2.03703691152882,1.3952562574906495,0.8504439812410263,17.032486326866643,6.004905146221878,3.342425047488386,1.3666951470272966,1.1325568876978533
0,18.06678538739564,7.1835835187871435,5.593046959170152,3.0727060369627055,2.8399920581341376,2.9768568221764875,1.9081529706390856,1.4448006050673796,0.8565159930417373,0.9190169054782852,5.092458817436171,4.887135717423183,4.233443402743967,1.968942022465956,1.3837859746800536,4.056354675751595,2.485986482770948,1.8345720728535522,1.2037152798242523,0.8676968228059236,16.391791066808366,6.592230546942457,3.158339007427002,1.446721544467025,1.2757538184554105
0,20.43624493451218,10.43346195517793,4.999525661821165,3.8238439839871448,2.21244854526638,3.3638821046234133,2.035057766830543,1.3980206492721634,0.7545709032607727,0.9523647072027085,6.214911163697993,5.3924115398395065,4.593061376270162,2.2025527920035533,1.4450146971888282,3.973775701728632,1.4418071143766547,1.4266521224645214,1.4370023191501704,1.083812791535477,17.105370017600404,9.114021012511106,4.188339983999468,2.9964836251358955,1.6968093837252258
0,30.44880497890989,10.539734325219381,4.223160928148097,3.195598194718006,2.782071623666692,2.4197658261644697,2.444707863743713,1.5785314926822567,0.9072133019864228,1.017164464727606,7.330563011007331,6.089070591760022,4.622875612769557,2.5372164350047193,1.393400986306269,3.44172418577334,1.9817852295996794,1.7227941285477342,1.4997176259561154,1.1302174719957536,25.57924398018325,8.583648963112,2.682954013566735,1.9750265769970483,1.0100270832473597
0,30.074004057216975,9.356275588234567,3.9165769325283812,4.099763086107901,2.8734689358794285,2.732118125037492,2.5046478948510615,1.7099740754407482,0.9055235040461665,1.034109144733093,6.645107153465281,4.540727388787699,4.546494496032703,2.6304077249792557,1.416872075837769,3.094948446840526,2.437839018977778,1.9952547544681196,1.4397585617825115,1.06639281288606,25.660919985981348,8.223079080515358,2.5751538971979375,2.274792859414211,1.0526060557754113
0,35.44332199597041,9.66558676616641,4.131480071758266,4.792533695757514,2.8632632953595296,2.5488028446521502,2.439828631159703,0.9390914771722108,1.131157479992924,1.01853920175534,6.497100204619217,3.3217155496451745,3.9802550758680035,2.238115964911485,1.2840030187664864,2.7466748257593645,2.2249827125618284,2.113844729139458,1.2838566693663875,1.217719983078055,31.362652293949942,9.295811382033678,3.4617744924481273,2.406478417397753,1.1073354247715823
0,26.060042808221493,6.824738287076443,3.7473040705525804,4.981953037708566,2.7076314308429774,1.9847032903741428,1.848902513409632,1.528362146709998,1.2874733246296604,0.9758551044868709,4.6242863110274,3.4452974967617562,3.428347951477824,2.4018981533225814,1.1313755942990924,3.3476102019954226,2.4238607958613985,2.2012053431482146,1.9842559663770438,1.0005907183136526,23.785007283731723,5.702021618273925,2.8962987982516957,2.800425351268907,1.1806356429983593
0,22.825081412974193,5.675677956144869,4.064998937851524,4.9519873595050425,2.371160945805941,2.0811150425630984,1.5046525468565,1.4312340600081164,1.4933899258657237,1.0905619699984455,5.782684367956561,2.823330985748716,2.8236869532043456,2.1150819489441597,1.345359147726239,4.144820637663376,2.7818598039905735,1.5445232886105758,2.0489496097744,0.9379620318484999,20.786340753744923,4.9647173131020494,2.188693178513542,2.514451450957857,1.076662905491402
