,EEG.AF3/Theta,EEG.AF3/Alpha,EEG.AF3/BetaL,EEG.AF3/BetaH,EEG.AF3/Gamma,EEG.T7/Theta,EEG.T7/Alpha,EEG.T7/BetaL,EEG.T7/BetaH,EEG.T7/Gamma,EEG.Pz/Theta,EEG.Pz/Alpha,EEG.Pz/BetaL,EEG.Pz/BetaH,EEG.Pz/Gamma,EEG.T8/Theta,EEG.T8/Alpha,EEG.T8/BetaL,EEG.T8/BetaH,EEG.T8/Gamma,EEG.AF4/Theta,EEG.AF4/Alpha,EEG.AF4/BetaL,EEG.AF4/BetaH,EEG.AF4/Gamma
0,56.91955450960919,30.27270625768626,20.283198461909656,15.673981593243152,9.359959173797764,16.7965740743167,12.158426642670216,6.0573006433157355,5.6653222066549365,3.414875512720789,15.689049638337924,12.249269260757316,7.103074190707405,5.3752026331317815,3.7244024915660106,22.68088818633806,16.51458339175582,7.77387015124012,7.468391891062737,5.1792274708029185,12.188170244143418,9.234011701074916,5.407710588167086,4.06697211373676,2.9429340137890754
0,27.362351215038807,11.730994216680951,7.168137512377943,4.195309787946458,3.2681534697498216,14.196717335115613,8.232995599784513,6.992475639924853,4.195878027572357,2.531551946032237,13.879423704894554,8.81153975633826,5.285995036376434,3.723886654106701,2.8139182628100095,17.253380082898175,10.635092608191306,8.368531964429536,5.1576326641752255,3.6412160930083104,17.07648178703679,10.380477189631351,9.583768322720186,5.068486734086176,3.154543603046934
0,26.337531779174572,13.736113769254988,8.427234190893023,4.068825747536104,2.8534460772315846,13.212489145171157,6.52079640520577,6.1159814187937185,3.2478535383426683,1.9272971285757947,13.683957834646824,8.018748100967645,5.674155751809861,3.4216137290527264,2.6413621790385884,12.359043851270954,8.634918311831488,7.06524001484848,4.11405513120987,3.2921145963970693,16.40480559860493,9.476028325060346,7.614042993846778,4.399799770841057,3.3315160945849565
0,18.345956563926375,15.721439215317492,7.702492674092275,6.540249771370272,3.1521829468097375,10.524518935749537,6.254985473819241,5.13664379772822,3.1097511267678972,1.8656792964546174,11.80556438292733,8.018903767029864,4.348410904722545,3.509049256027654,2.5167853047271724,11.491733838867876,5.686461756032199,5.9538523385860085,3.76727809061806,2.685044529487185,13.215288929992465,6.4551013465030795,6.560149743617494,4.194999554416105,2.945072352828911
0,21.323451468671884,19.36027643885579,10.642700250032508,7.374984935640977,3.959194925043814,15.46916015612403,9.5282238926743,7.026674627486356,4.508333154566725,3.019332804400239,12.234065258534871,9.490137032902435,7.36010186305586,4.133963816947682,3.15043329419933,14.780466848085885,8.167454574333222,6.424123925262532,3.788307692739246,3.62449673853041,7.045429522191097,3.523894649865364,3.5913137558046366,2.927232943037918,2.767581504503382
0,17.785149162901014,16.736346662946268,10.422225032660474,6.5383195521543085,4.990095720874159,19.239427930885704,12.554582350790628,7.302858901463205,6.858578226050675,3.9866824809394976,16.400346105305914,10.834278645309857,6.541817138230128,5.1896181802597265,2.9570148030690904,20.497936851733737,11.067541013815786,7.196125942750953,7.670362998440735,3.9746785283809296,14.335162064640349,8.541804519770206,5.543098328248659,4.435425375068626,3.1413640207437354
0,61.65053772306982,40.70702375463373,31.139127851699083,19.692124073349486,13.563778553380928,14.693808690167609,6.645335099999954,2.834478002596803,2.440282377611252,2.6845337969054532,19.643821921445138,10.71607886827429,3.9866554516981276,4.920780299573331,3.759230099702935,13.732413704016503,5.069716212749367,3.709953908205886,4.265319419642064,3.0041889278194325,23.653623318240953,12.079819069748245,5.5720410748586,6.094559100771418,4.502227890403447
0,81.33499432900717,49.293503079232536,31.82616346235874,22.085150094356518,13.872921961739875,13.589226178125362,4.047277491457771,3.565497914519348,2.781413080450028,2.9438549429462104,17.149601684108852,7.668804315216979,5.401717301176523,3.525355647093938,3.3621513822691482,12.633806996895657,4.673125796258263,5.645339153875531,5.960493808852522,4.716064155387321,30.62914915963139,16.224379331793344,10.239226217739533,5.8622025623972025,5.009157401228896
0,114.05015458809021,67.18764213283512,51.90673022082287,35.87954873631368,27.218784580480122,17.381615097293547,5.073204186761508,6.057414822652605,4.228256019669661,4.636766304840662,20.66543480170681,7.276602953828858,7.1877385692538684,5.4950788533886,4.3099858650980645,31.435429471449062,13.802570457981082,9.641023704932085,11.053214264947831,8.162383563689337,236.898121094731,129.6787979620305,84.37946051100039,59.09991767402041,39.28361380107448
0,104.61057558465116,61.39542035418337,46.21576065209145,35.061466974076566,22.95679224963809,13.302010989283541,6.574738137074948,5.69403192493348,4.281170564347464,4.061164599387488,17.999026317826964,6.971001263411159,6.748189591999326,4.603839560171548,5.228010087909276,21.618515090242603,11.713508099857535,6.248545950382446,8.7431264407107,8.04489790371863,219.13411175963398,120.47774599312724,84.72083319602389,58.20530511667425,37.30051348813487
