,EEG.AF3/Theta,EEG.AF3/Alpha,EEG.AF3/BetaL,EEG.AF3/BetaH,EEG.AF3/Gamma,EEG.T7/Theta,EEG.T7/Alpha,EEG.T7/BetaL,EEG.T7/BetaH,EEG.T7/Gamma,EEG.Pz/Theta,EEG.Pz/Alpha,EEG.Pz/BetaL,EEG.Pz/BetaH,EEG.Pz/Gamma,EEG.T8/Theta,EEG.T8/Alpha,EEG.T8/BetaL,EEG.T8/BetaH,EEG.T8/Gamma,EEG.AF4/Theta,EEG.AF4/Alpha,EEG.AF4/BetaL,EEG.AF4/BetaH,EEG.AF4/Gamma
0,7.411904513823238,5.474372537122501,3.423232406684007,4.127312127985045,2.6243095324069428,1.8590944094221566,2.0977552731403324,2.6659373513319045,1.7777307117920649,1.402487159601181,3.999327789880539,4.22063908905057,2.4484055909295206,2.4347229531715007,1.782875347729844,7.982418140873349,4.570248629120016,2.6381271333177225,3.199367200105684,2.448970319689443,9.031076918773481,6.14047131584026,3.691963103888739,2.4601262450262356,2.2233355559589456
0,7.108308241904156,5.581926732667297,3.111360582739348,4.466874810751239,3.018055625950739,2.0546703437073655,2.6152811819524446,2.5249328493345677,1.89146255707129,1.5661159085829186,3.9060496940867973,3.8537871422263477,3.2255384077599727,2.3779603937856626,1.9652730222432577,5.557766613935178,4.219902575488833,2.049988982181202,2.6369618793879854,2.3279168231677128,8.552151126119337,6.875421421337559,3.010706849833137,2.8225416071666762,2.187371262328324
0,7.156185107837598,5.365960094998714,3.0936063152465723,4.606820491103422,2.9683003271916517,2.5062458130922662,3.3151350474271033,2.4603765973031897,1.819029970970123,1.4426517292298218,6.5958902769175065,5.16745810447871,3.084642368909972,2.2276816243362814,1.8471545683611947,3.1078787673690433,2.1105498801438207,2.875789944948729,2.8538398513618946,2.1435216586280874,9.0890474678169,6.528566420931609,3.618232308524648,3.128181365954787,2.1869435823692696
0,9.690695989809656,8.985348201330833,3.7994514382234925,4.706838905697827,2.9656206878993236,2.043122295642692,2.5199286288079343,1.743583524782056,1.86712578578009,1.429878337755201,5.749630446862035,5.064805480466775,3.0345647464514753,2.080170068743805,1.7595853007173894,2.610981306878627,2.5308847016751765,2.6041756800865823,2.629628132016111,2.214520149622933,9.814980840381914,8.779969096871401,3.449087608624713,3.3309082750289982,2.2357857825090384
0,6.633967492205978,3.2605590323838967,3.6143482535321105,4.40081722450291,2.5051720213319064,2.8144096899858666,2.6532040104052834,2.387166821631928,1.708671277936001,1.6943962648492665,4.5320590158795895,4.492845974940397,3.7964522521562047,1.9765311404533996,2.1197310824963953,4.149955481246104,2.7399962390646033,3.5203396206285427,2.245061642077594,2.1264949099615147,6.5745566011644545,2.840573799165089,3.428464396420737,3.540495654435427,2.2125878145219913
0,6.926997786074686,3.3316232576544587,4.572727532787099,3.434847405407175,2.5409923188044794,2.951436430599273,2.570562884802681,2.2648165957892306,1.6696273541414794,1.5966503063558743,4.486567458034149,3.245325744531339,3.7050819721574806,2.047022651436058,2.040396904381892,3.929808925675099,2.3004844190166427,2.9021436996915586,2.1745071515559267,2.0846283281913403,6.701549704943737,3.527911100907609,3.6337778052638243,2.37908727952048,2.253925332306843
0,6.632424331531418,4.2933406128115115,3.0433728587187407,3.257216403714634,2.677378014316564,2.7309735931698116,3.334451134625892,1.5175092685843694,1.8524721891797795,1.7183162135802807,3.44537649241271,5.008548802678165,4.0985459494687415,2.3167376396081556,2.1116047585366697,3.996508030419843,3.5840134156602863,2.53525216111879,2.1653683737701286,2.1139325673235345,5.939985278217302,4.129679184553672,2.125675207529948,2.3740369747280976,2.392026828455806
0,9.132775976787778,6.604526287882815,4.420054295264222,2.7867421490181963,2.4320158246098664,3.282765202098337,2.2064905649353053,1.5814624425174386,1.5778121356049968,1.483717109834015,3.4290654111770555,3.901432737030438,4.092695640742329,2.307783402841008,2.0212839528372757,6.5831007362600955,5.01678916644542,3.284001633677234,1.97479971614463,1.7952201070924487,5.763998918063569,5.077185799110169,2.8529370955158644,2.736643660441074,2.27000944959947
0,3.614112010183182,3.713381696169217,3.370980923878128,2.8061048484970073,2.14571605188692,2.067368047938177,2.248111518283234,2.044346752766064,2.1350339465715127,1.3280938424466118,3.2039895240761793,4.138797157906246,4.190267490365376,2.4035245910271312,1.7017957439522609,4.108527633581445,3.8344257594379427,1.9840158044423,2.4168306295091475,1.597750035497374,2.66261976330969,3.3636003202583735,3.30925835795193,2.469535911225326,1.4902522462110994
0,5.087583750149949,4.174008818939357,4.162284486036518,3.121403270930643,1.889089654967626,2.426797005187609,2.4485656221907286,2.9639363137967836,1.7127395336875935,1.3656676715755038,3.132202450216868,4.2694774125145845,5.212375336272584,2.7028656024830826,1.9283343441056613,4.930213888607166,4.000847450349059,2.5315936445628378,2.4277738199353998,1.764767646892483,5.969383791651588,4.354582446112498,3.6299923788202095,2.1793636230454836,1.9376636527433309
0,4.976010190947361,5.626807705006192,3.8762370878578247,3.4125976310942905,1.8090609037870844,2.456836871885155,4.212781426544817,2.5408651541010507,1.8200108731202422,1.412058568580831,2.9034074868638475,4.541151308439451,4.3630705176284446,2.5417985150900746,1.9003223793292767,5.437723027497637,2.7413402433224157,2.6575885310814025,2.4805043276706127,1.706874611300216,4.354544448601455,4.740463100381463,3.626392172609706,2.22984289763604,1.4430798348289666
0,3.5294999129115525,6.005008930317055,4.556698177281595,3.616586957088861,1.770396290100503,3.270276413762494,4.459665797347925,2.880338121455823,1.9003431273427782,1.3789345840418454,4.108760238183923,7.137427916493168,5.082233545438522,2.608611632785221,1.536387279465227,5.4061222531124855,3.6822682773019295,2.8850806289879345,2.4096849001221075,1.6359019294335297,4.040194574821635,5.017469832666782,3.9621538534801437,2.2021043210781963,1.5536108078992876
0,2.866188349845911,6.182910323760848,4.622956553888253,2.9546809838876973,2.2696452439324286,2.4678467369880535,4.300806625964183,2.0494165385756773,1.2495498476688325,1.3949998747106118,4.468848835533189,5.847851569642378,4.394303787538924,2.2407353307709856,1.614322515095673,5.483789152650665,3.4024458759190814,2.4655176133451535,2.2281374729607792,1.6396529986167532,3.5297186704523265,4.765289575040136,4.151112210321594,2.415257432351091,2.1933888555289105
0,5.0924685692183225,4.220066845356437,3.8096105081669274,3.648437588930686,2.5527155954513665,2.4076665819934404,3.254106059427483,1.813163205714266,1.8846371057491584,1.401138645473937,4.607809157061183,5.047445508946683,3.116546398107261,2.285055748173388,1.47131519568232,6.151326302887904,2.9636427860426204,1.8691128874137573,2.179537572675196,1.6603987500236985,7.238122191938622,3.5828989687917536,2.755662304871673,2.456379467803752,1.888931206096584
0,9.311692536000132,5.661793282676074,3.822310340331787,2.9341403728099715,2.7344176482451914,3.4244592964660625,2.0884773156211165,2.064858653317743,1.4993207962973958,1.4697309205371691,5.182526711007674,5.652046663361004,3.552554603763808,2.5865865712105296,1.6733126263135893,4.878328409539719,2.9023065288641856,2.2349134561830724,2.0573134799065604,1.820636628981308,8.0282474385771,4.47202723752322,2.8828298560242005,2.6075145535444504,2.194227761395361
0,9.553809793534635,5.267613482894213,4.0531365657903935,3.005767290823216,2.8773934699451327,3.434364495842884,2.5123467994407775,2.2783917169963956,1.7987710266863328,1.6207798296208378,3.714556550431894,3.7973542046984576,3.5558989543539448,2.4667226149896835,2.052403273874268,6.208417859801473,3.8764743666992287,3.4727853233656076,1.779795022337645,1.864912760880499,8.041157861811982,4.975660157015616,3.1669165909380608,2.0549263228031815,2.0849538997401647
0,9.535517686670152,7.004268521043436,5.017393688164633,3.7052617100654635,2.8934884243954277,3.734656050511666,2.9584134552511876,2.7223621545922665,2.520704295052013,1.5882675884960977,3.279063977671753,4.128333429872488,4.158939204851524,2.5918796652868332,2.2062621304262215,5.657089050814584,4.340938222533671,3.9770471272957897,2.0818228956514764,1.9460559142033391,7.095835198920004,5.700981349670076,3.853311349084047,2.682190039699667,1.9784647431820812
0,12.588442174321367,11.341636534258932,8.794408297273652,4.130407968993347,2.59113565153264,12.394474811610053,9.994064601207036,6.744354678575675,3.8321877645414277,1.974048675564998,11.319408760483409,8.58860415299169,8.395708351180604,4.206016812406281,2.1858083360229688,10.704844406843964,7.716876431839163,7.1543956158506266,3.3616256465163006,2.413592230678401,12.883647537237428,10.227059131389959,8.679586639357394,3.2974258260828675,2.3910750516823276
0,15.913477726282911,11.832141240760333,8.848289642280477,3.6896199194831922,2.826756756754991,11.302520253104964,10.406112790248063,6.851241690328285,3.743714894018056,1.9812139977353045,10.913121699308734,9.461483169767131,8.317317983333567,4.13557031569993,2.1635206395337203,10.518394145918554,7.6607632918843365,6.233676180841313,3.000366913947327,2.2018556357580246,16.327201008550844,10.957619225448813,8.536682244051674,3.2671655721308994,2.603163269297276
0,14.762701409698375,11.337611602549524,8.40692104543794,3.8590250441971343,2.7832780225947578,11.404756687499567,10.025094634922429,6.962475955636592,3.9418210894570427,1.9595070738300595,11.468782749715075,9.152998465385137,8.202905087864323,4.230421965679249,2.121673877796809,12.780774830107774,7.938895742622627,8.262938770158886,3.6215216222766644,2.446322271138542,15.002496711735736,10.9504683601713,7.878108470257187,3.5352342194976645,2.4536764755074323
0,12.518662159011214,7.505012408161646,8.79474711621296,4.420209752686398,3.07537428553209,10.724533406053807,7.6282825230102045,6.498002437840815,4.3434843192593915,2.207994119165273,10.947560242654514,6.692390959564309,7.146265521863157,4.83797617919434,2.4380182521221996,10.248348344575039,5.905355504030084,8.17921604728896,4.470003988854382,2.594706814922154,13.913713087264963,6.932599333859774,7.1684843159247436,4.674195221313576,2.7476541758485653
0,11.353321242899423,5.578420592070455,3.6201970187326404,2.8673443009372144,2.4897183836019243,3.8813418691727555,2.643500056331043,1.8399906910203587,1.4627764627017077,1.5449031946251783,4.698172708095836,4.1277303576327204,4.11619335938262,2.4373370728295707,1.8371749177867396,9.47108702900845,5.4883458720442615,7.00225568689155,2.863340069866278,2.242587408520762,11.421371002546882,6.294073255878164,2.5937738398434815,2.7158534689966474,2.335458372366678
